Topic,Content block,Scene,Scene name,Current copy,Proposed copy,Notes,Source file,Field ID
"Shared · Default path (no interest selected)","Stat beat 1 · stat","8","Stat Beats","#1","","","src/lib/sprint3-content.ts","8-stat-beat-1-stat-default"
"Shared · Default path (no interest selected)","Stat beat 1 · sublabel","8","Stat Beats","among public universities — 10 years running","","","src/lib/sprint3-content.ts","8-stat-beat-1-sublabel-default"
"Shared · Default path (no interest selected)","Stat beat 2 · label","8","Stat Beats","undergraduate degrees","","","src/lib/sprint3-content.ts","8-stat-beat-2-label-default"
"Shared · Default path (no interest selected)","Stat beat 2 · stat","8","Stat Beats","400+","","","src/lib/sprint3-content.ts","8-stat-beat-2-stat-default"
"Shared · Default path (no interest selected)","Stat beat 2 · sublabel","8","Stat Beats","across 18 colleges and schools","","","src/lib/sprint3-content.ts","8-stat-beat-2-sublabel-default"
"Shared · Default path (no interest selected)","Stat beat 3 · label","8","Stat Beats","student organizations","","","src/lib/sprint3-content.ts","8-stat-beat-3-label-default"
"Shared · Default path (no interest selected)","Stat beat 3 · stat","8","Stat Beats","1,000+","","","src/lib/sprint3-content.ts","8-stat-beat-3-stat-default"
"Shared · Default path (no interest selected)","Stat beat 3 · sublabel","8","Stat Beats","find your people from day one","","","src/lib/sprint3-content.ts","8-stat-beat-3-sublabel-default"
"Shared · Default path (no interest selected)","Experience 1 · description","9","Real Experiences","ASU's immersive VR biology lab uses gripping storytelling to teach concepts — students retain more and raise grades by a full letter.","","","src/lib/sprint3-content.ts","9-experience-1-description-default"
"Shared · Default path (no interest selected)","Experience 1 · headline","9","Real Experiences","You're part of the story.","","","src/lib/sprint3-content.ts","9-experience-1-headline-default"
"Shared · Default path (no interest selected)","Experience 1 · imageAlt","9","Real Experiences","Immersive virtual reality learning environment","","","src/lib/sprint3-content.ts","9-experience-1-imagealt-default"
"Shared · Default path (no interest selected)","Experience 1 · imageSrc","9","Real Experiences","https://images.unsplash.com/photo-1592478411213-76181894ffd2?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint3-content.ts","9-experience-1-imagesrc-default"
"Shared · Default path (no interest selected)","Experience 1 · program","9","Real Experiences","Dreamscape Learn","","","src/lib/sprint3-content.ts","9-experience-1-program-default"
"Shared · Default path (no interest selected)","Experience 2 · description","9","Real Experiences","A nationally recognized honors experience with exclusive courses, personalized mentorship, and 600+ academic experiences every semester.","","","src/lib/sprint3-content.ts","9-experience-2-description-default"
"Shared · Default path (no interest selected)","Experience 2 · headline","9","Real Experiences","8,000 students. One community.","","","src/lib/sprint3-content.ts","9-experience-2-headline-default"
"Shared · Default path (no interest selected)","Experience 2 · imageAlt","9","Real Experiences","Honors students walking on campus","","","src/lib/sprint3-content.ts","9-experience-2-imagealt-default"
"Shared · Default path (no interest selected)","Experience 2 · imageSrc","9","Real Experiences","https://images.unsplash.com/photo-1541339907198-e08756dedf32?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint3-content.ts","9-experience-2-imagesrc-default"
"Shared · Default path (no interest selected)","Experience 2 · program","9","Real Experiences","Barrett, The Honors College","","","src/lib/sprint3-content.ts","9-experience-2-program-default"
"Shared · Default path (no interest selected)","Experience 3 · description","9","Real Experiences","Before classes even start — marching band, Sparky, President Crow, and 70,000 Sun Devils welcoming you home at Mountain America Stadium.","","","src/lib/sprint3-content.ts","9-experience-3-description-default"
"Shared · Default path (no interest selected)","Experience 3 · headline","9","Real Experiences","Pure passion and fire.","","","src/lib/sprint3-content.ts","9-experience-3-headline-default"
"Shared · Default path (no interest selected)","Experience 3 · imageAlt","9","Real Experiences","Stadium filled with cheering students","","","src/lib/sprint3-content.ts","9-experience-3-imagealt-default"
"Shared · Default path (no interest selected)","Experience 3 · imageSrc","9","Real Experiences","https://images.unsplash.com/photo-1459865264687-595d652de67e?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint3-content.ts","9-experience-3-imagesrc-default"
"Shared · Default path (no interest selected)","Experience 3 · program","9","Real Experiences","Sun Devil Welcome","","","src/lib/sprint3-content.ts","9-experience-3-program-default"
"Shared · Default path (no interest selected)","Scene UI · experience CTA","9","Real Experiences","View degree on degrees.asu.edu","","","src/components/scenes/Scene9RealExperiences.tsx","9-scene-ui-experience-cta-default"
"Shared · Default path (no interest selected)","Scene UI · headline (default)","9","Real Experiences","Not brochures.","","","src/components/scenes/Scene9RealExperiences.tsx","9-scene-ui-headline-default-default"
"Shared · Default path (no interest selected)","Scene UI · headline (personalized)","9","Real Experiences","Picked for your path.","","","src/components/scenes/Scene9RealExperiences.tsx","9-scene-ui-headline-personalized-default"
"Shared · Default path (no interest selected)","Scene UI · kicker","9","Real Experiences","Real experiences","","","src/components/scenes/Scene9RealExperiences.tsx","9-scene-ui-kicker-default"
"Shared · Default path (no interest selected)","Scene UI · subhead (default)","9","Real Experiences","Actual programs. Actual people.","","","src/components/scenes/Scene9RealExperiences.tsx","9-scene-ui-subhead-default-default"
"Shared · Default path (no interest selected)","Scene UI · subhead (personalized)","9","Real Experiences","Programs matched to you.","","","src/components/scenes/Scene9RealExperiences.tsx","9-scene-ui-subhead-personalized-default"
"Shared · Default path (no interest selected)","Belonging · chapter","10","You Belong","03.","","","src/lib/sprint3-content.ts","10-belonging-chapter-default"
"Shared · Default path (no interest selected)","Belonging · emphasis","10","You Belong","belong.","","","src/lib/sprint3-content.ts","10-belonging-emphasis-default"
"Shared · Default path (no interest selected)","Belonging · headline","10","You Belong","you","","","src/lib/sprint3-content.ts","10-belonging-headline-default"
"Shared · Default path (no interest selected)","Belonging · imageAlt","10","You Belong","Student on campus at golden hour","","","src/lib/sprint3-content.ts","10-belonging-imagealt-default"
"Shared · Default path (no interest selected)","Belonging · imageSrc","10","You Belong","https://images.unsplash.com/photo-1523580495183-7fccf8c64754?auto=format&fit=crop&w=2400&q=80","","","src/lib/sprint3-content.ts","10-belonging-imagesrc-default"
"Shared · Default path (no interest selected)","Belonging · preline","10","You Belong","If you're starting to picture yourself here —","","","src/lib/sprint3-content.ts","10-belonging-preline-default"
"Shared · Default path (no interest selected)","Belonging · subline","10","You Belong","Join 140,000+ Sun Devils who chose to explore what's possible.","","","src/lib/sprint3-content.ts","10-belonging-subline-default"
"Shared · Default path (no interest selected)","Scene UI · helper","10","You Belong","More of your story is coming","","","src/components/scenes/Scene10Belonging.tsx","10-scene-ui-helper-default"
"Shared · Learning style selection","Learning style tile · emoji","11","Learning Style","🛠️","","","src/lib/sprint4-content.ts","11-learning-style-tile-emoji-learning-hands-on"
"Shared · Learning style selection","Learning style tile · emoji","11","Learning Style","🤝","","","src/lib/sprint4-content.ts","11-learning-style-tile-emoji-learning-collaborative"
"Shared · Learning style selection","Learning style tile · emoji","11","Learning Style","🎧","","","src/lib/sprint4-content.ts","11-learning-style-tile-emoji-learning-independent"
"Shared · Learning style selection","Learning style tile · emoji","11","Learning Style","🧭","","","src/lib/sprint4-content.ts","11-learning-style-tile-emoji-learning-exploring"
"Shared · Learning style selection","Learning style tile · id","11","Learning Style","hands-on","","","src/lib/sprint4-content.ts","11-learning-style-tile-id-learning-hands-on"
"Shared · Learning style selection","Learning style tile · id","11","Learning Style","collaborative","","","src/lib/sprint4-content.ts","11-learning-style-tile-id-learning-collaborative"
"Shared · Learning style selection","Learning style tile · id","11","Learning Style","independent","","","src/lib/sprint4-content.ts","11-learning-style-tile-id-learning-independent"
"Shared · Learning style selection","Learning style tile · id","11","Learning Style","exploring","","","src/lib/sprint4-content.ts","11-learning-style-tile-id-learning-exploring"
"Shared · Learning style selection","Learning style tile · label","11","Learning Style","Hands-on","","","src/lib/sprint4-content.ts","11-learning-style-tile-label-learning-hands-on"
"Shared · Learning style selection","Learning style tile · label","11","Learning Style","With people","","","src/lib/sprint4-content.ts","11-learning-style-tile-label-learning-collaborative"
"Shared · Learning style selection","Learning style tile · label","11","Learning Style","On my own","","","src/lib/sprint4-content.ts","11-learning-style-tile-label-learning-independent"
"Shared · Learning style selection","Learning style tile · label","11","Learning Style","Still exploring","","","src/lib/sprint4-content.ts","11-learning-style-tile-label-learning-exploring"
"Shared · Learning style selection","Learning style tile · tagline","11","Learning Style","Build it. Break it. Fix it. Learn.","","","src/lib/sprint4-content.ts","11-learning-style-tile-tagline-learning-hands-on"
"Shared · Learning style selection","Learning style tile · tagline","11","Learning Style","Small groups, big ideas, real connection.","","","src/lib/sprint4-content.ts","11-learning-style-tile-tagline-learning-collaborative"
"Shared · Learning style selection","Learning style tile · tagline","11","Learning Style","Self-paced, deep focus, your rhythm.","","","src/lib/sprint4-content.ts","11-learning-style-tile-tagline-learning-independent"
"Shared · Learning style selection","Learning style tile · tagline","11","Learning Style","Try everything — no wrong answer.","","","src/lib/sprint4-content.ts","11-learning-style-tile-tagline-learning-exploring"
"Shared · Learning style selection","Scene UI · body","11","Learning Style","This shapes what comes next — programs, spaces, and stories picked for you.","","","src/components/scenes/Scene11LearningStyle.tsx","11-scene-ui-body-default"
"Shared · Learning style selection","Scene UI · headline line 1","11","Learning Style","How do you","","","src/components/scenes/Scene11LearningStyle.tsx","11-scene-ui-headline-line-1-default"
"Shared · Learning style selection","Scene UI · headline line 2","11","Learning Style","learn best?","","","src/components/scenes/Scene11LearningStyle.tsx","11-scene-ui-headline-line-2-default"
"Shared · Learning style selection","Scene UI · helper link","11","Learning Style","Not sure how you learn best? Browse degrees at ASU first →","","","src/components/scenes/Scene11LearningStyle.tsx","11-scene-ui-helper-link-default"
"Shared · Learning style selection","Scene UI · kicker","11","Learning Style","Go deeper","","","src/components/scenes/Scene11LearningStyle.tsx","11-scene-ui-kicker-default"
"Shared · Learning style selection","Scene UI · status (saved)","11","Learning Style","Saved — one more choice below","","","src/components/scenes/Scene11LearningStyle.tsx","11-scene-ui-status-saved-default"
"Shared · Campus selection","Campus card · description","12","Campus Choice","Big 12 sports, VR labs, and the heartbeat of ASU.","","","src/lib/sprint4-content.ts","12-campus-card-description-campus-tempe"
"Shared · Campus selection","Campus card · description","12","Campus Choice","Journalism, health care, government — career connections everywhere.","","","src/lib/sprint4-content.ts","12-campus-card-description-campus-downtown"
"Shared · Campus selection","Campus card · description","12","Campus Choice","Desert arboretum, makerspaces, and hands-on from day one.","","","src/lib/sprint4-content.ts","12-campus-card-description-campus-polytechnic"
"Shared · Campus selection","Campus card · description","12","Campus Choice","Tight-knit, peaceful, and focused on what's next.","","","src/lib/sprint4-content.ts","12-campus-card-description-campus-west-valley"
"Shared · Campus selection","Campus card · description","12","Campus Choice","Same faculty, same degree — from wherever you are.","","","src/lib/sprint4-content.ts","12-campus-card-description-campus-online"
"Shared · Campus selection","Campus card · description","12","Campus Choice","Four campuses, one university — you'll find your fit.","","","src/lib/sprint4-content.ts","12-campus-card-description-campus-undecided"
"Shared · Campus selection","Campus card · id","12","Campus Choice","tempe","","","src/lib/sprint4-content.ts","12-campus-card-id-campus-tempe"
"Shared · Campus selection","Campus card · id","12","Campus Choice","downtown","","","src/lib/sprint4-content.ts","12-campus-card-id-campus-downtown"
"Shared · Campus selection","Campus card · id","12","Campus Choice","polytechnic","","","src/lib/sprint4-content.ts","12-campus-card-id-campus-polytechnic"
"Shared · Campus selection","Campus card · id","12","Campus Choice","west-valley","","","src/lib/sprint4-content.ts","12-campus-card-id-campus-west-valley"
"Shared · Campus selection","Campus card · id","12","Campus Choice","online","","","src/lib/sprint4-content.ts","12-campus-card-id-campus-online"
"Shared · Campus selection","Campus card · id","12","Campus Choice","undecided","","","src/lib/sprint4-content.ts","12-campus-card-id-campus-undecided"
"Shared · Campus selection","Campus card · imageAlt","12","Campus Choice","Students walking on the Tempe campus","","","src/lib/sprint4-content.ts","12-campus-card-imagealt-campus-tempe"
"Shared · Campus selection","Campus card · imageAlt","12","Campus Choice","Downtown Phoenix skyline at dusk","","","src/lib/sprint4-content.ts","12-campus-card-imagealt-campus-downtown"
"Shared · Campus selection","Campus card · imageAlt","12","Campus Choice","Engineering makerspace at Polytechnic campus","","","src/lib/sprint4-content.ts","12-campus-card-imagealt-campus-polytechnic"
"Shared · Campus selection","Campus card · imageAlt","12","Campus Choice","West Valley campus courtyards and fountains","","","src/lib/sprint4-content.ts","12-campus-card-imagealt-campus-west-valley"
"Shared · Campus selection","Campus card · imageAlt","12","Campus Choice","Student learning online from anywhere","","","src/lib/sprint4-content.ts","12-campus-card-imagealt-campus-online"
"Shared · Campus selection","Campus card · imageAlt","12","Campus Choice","Student exploring campus options","","","src/lib/sprint4-content.ts","12-campus-card-imagealt-campus-undecided"
"Shared · Campus selection","Campus card · imageSrc","12","Campus Choice","https://images.unsplash.com/photo-1541339907198-e08756dedf32?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint4-content.ts","12-campus-card-imagesrc-campus-tempe"
"Shared · Campus selection","Campus card · imageSrc","12","Campus Choice","https://images.unsplash.com/photo-1477959856237-4a6700d41685?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint4-content.ts","12-campus-card-imagesrc-campus-downtown"
"Shared · Campus selection","Campus card · imageSrc","12","Campus Choice","https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint4-content.ts","12-campus-card-imagesrc-campus-polytechnic"
"Shared · Campus selection","Campus card · imageSrc","12","Campus Choice","https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint4-content.ts","12-campus-card-imagesrc-campus-west-valley"
"Shared · Campus selection","Campus card · imageSrc","12","Campus Choice","https://images.unsplash.com/photo-1522202176988-66273c2fd55f?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint4-content.ts","12-campus-card-imagesrc-campus-online"
"Shared · Campus selection","Campus card · imageSrc","12","Campus Choice","https://images.unsplash.com/photo-1523580495183-7fccf8c64754?auto=format&fit=crop&w=1600&q=80","","","src/lib/sprint4-content.ts","12-campus-card-imagesrc-campus-undecided"
"Shared · Campus selection","Campus card · label","12","Campus Choice","Tempe","","","src/lib/sprint4-content.ts","12-campus-card-label-campus-tempe"
"Shared · Campus selection","Campus card · label","12","Campus Choice","Downtown Phoenix","","","src/lib/sprint4-content.ts","12-campus-card-label-campus-downtown"
"Shared · Campus selection","Campus card · label","12","Campus Choice","Polytechnic","","","src/lib/sprint4-content.ts","12-campus-card-label-campus-polytechnic"
"Shared · Campus selection","Campus card · label","12","Campus Choice","West Valley","","","src/lib/sprint4-content.ts","12-campus-card-label-campus-west-valley"
"Shared · Campus selection","Campus card · label","12","Campus Choice","ASU Online","","","src/lib/sprint4-content.ts","12-campus-card-label-campus-online"
"Shared · Campus selection","Campus card · label","12","Campus Choice","Not sure yet","","","src/lib/sprint4-content.ts","12-campus-card-label-campus-undecided"
"Shared · Campus selection","Campus card · vibe","12","Campus Choice","Energy","","","src/lib/sprint4-content.ts","12-campus-card-vibe-campus-tempe"
"Shared · Campus selection","Campus card · vibe","12","Campus Choice","City","","","src/lib/sprint4-content.ts","12-campus-card-vibe-campus-downtown"
"Shared · Campus selection","Campus card · vibe","12","Campus Choice","Makers","","","src/lib/sprint4-content.ts","12-campus-card-vibe-campus-polytechnic"
"Shared · Campus selection","Campus card · vibe","12","Campus Choice","Community","","","src/lib/sprint4-content.ts","12-campus-card-vibe-campus-west-valley"
"Shared · Campus selection","Campus card · vibe","12","Campus Choice","Anywhere","","","src/lib/sprint4-content.ts","12-campus-card-vibe-campus-online"
"Shared · Campus selection","Campus card · vibe","12","Campus Choice","Open","","","src/lib/sprint4-content.ts","12-campus-card-vibe-campus-undecided"
"Shared · Campus selection","Scene UI · body","12","Campus Choice","Tap a campus to select it for your path. Explore first if you want — each card links out to campus info, degrees, and visits.","","","src/components/scenes/Scene12CampusChoice.tsx","12-scene-ui-body-default"
"Shared · Campus selection","Scene UI · headline line 1","12","Campus Choice","Where do you","","","src/components/scenes/Scene12CampusChoice.tsx","12-scene-ui-headline-line-1-default"
"Shared · Campus selection","Scene UI · headline line 2","12","Campus Choice","see yourself?","","","src/components/scenes/Scene12CampusChoice.tsx","12-scene-ui-headline-line-2-default"
"Shared · Campus selection","Scene UI · helper","12","Campus Choice","Not ready to choose? Open any link below, then come back and tap your pick.","","","src/components/scenes/Scene12CampusChoice.tsx","12-scene-ui-helper-default"
"Shared · Campus selection","Scene UI · kicker","12","Campus Choice","Almost there","","","src/components/scenes/Scene12CampusChoice.tsx","12-scene-ui-kicker-default"
"Shared · Campus selection","Scene UI · selected badge","12","Campus Choice","Selected ✓","","","src/components/scenes/Scene12CampusChoice.tsx","12-scene-ui-selected-badge-default"
"Shared · Campus selection","Scene UI · status","12","Campus Choice","{campusLabel} selected — scroll to see it come alive","","","src/components/scenes/Scene12CampusChoice.tsx","12-scene-ui-status-default"
"Shared · Place & setting","Immersion · campusLabel","13","Campus Immersion","ASU","","","src/lib/sprint5-content.ts","13-immersion-campuslabel-default"
"Shared · Place & setting","Immersion · detail","13","Campus Immersion","Find the fit that feels like you — Tempe's energy, Downtown's pulse, Polytechnic's makerspaces, West Valley's community.","","","src/lib/sprint5-content.ts","13-immersion-detail-default"
"Shared · Place & setting","Immersion · headline","13","Campus Immersion","Four campuses.","","","src/lib/sprint5-content.ts","13-immersion-headline-default"
"Shared · Place & setting","Immersion · imageAlt","13","Campus Immersion","Arizona State University campus overview","","","src/lib/sprint5-content.ts","13-immersion-imagealt-default"
"Shared · Place & setting","Immersion · imageSrc","13","Campus Immersion","https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=2400&q=80","","","src/lib/sprint5-content.ts","13-immersion-imagesrc-default"
"Shared · Place & setting","Immersion · subline","13","Campus Immersion","One university.","","","src/lib/sprint5-content.ts","13-immersion-subline-default"
"Shared · Place & setting","Immersion · vibe","13","Campus Immersion","Possibility","","","src/lib/sprint5-content.ts","13-immersion-vibe-default"
"Shared · Place & setting","Scene UI · CTA","13","Campus Immersion","Browse degrees on degrees.asu.edu","","","src/components/scenes/Scene13CampusImmersion.tsx","13-scene-ui-cta-default"
"Shared · Place & setting","Arizona stat 1 · label","14","Arizona","sunny days a year","","","src/lib/sprint5-content.ts","14-arizona-stat-1-label-default"
"Shared · Place & setting","Arizona stat 1 · stat","14","Arizona","300","","","src/lib/sprint5-content.ts","14-arizona-stat-1-stat-default"
"Shared · Place & setting","Arizona stat 1 · sublabel","14","Arizona","Phoenix — draw inspiration from the landscape","","","src/lib/sprint5-content.ts","14-arizona-stat-1-sublabel-default"
"Shared · Place & setting","Arizona stat 2 · label","14","Arizona","to Sedona's red rocks","","","src/lib/sprint5-content.ts","14-arizona-stat-2-label-default"
